title,IMDb,Rotten Tomatoes
Ask the Doctor,6.6,39/100
Locombianos,3.6,39/100
Robocar Poli,6.7,39/100
Rainbow Ruby,6.6,39/100
Justin Time,6.7,39/100
Fugitiva,5.7,39/100
Sing On!,6.3,39/100
Flinch,4.3,39/100
Larva,7.2,39/100
Baby Ballroom,7.8,39/100
Akbar Birbal,7.5,39/100
StoryBots Super Songs,8.5,39/100
VeggieTales In The House,4.4,39/100
LEGO Jurassic World: The Secret Exhibit,6.3,39/100
Strong,7.5,39/100
Legend Quest: Masters of Myth,7.7,39/100
Mighty Little Bheem: Kite Festival,8.5,39/100
The American Bible Challenge,6.4,39/100
Breakout,7.9,39/100
GAME ON: A Comedy Crossover Event,5.7,39/100
ID-0,6.1,39/100
Tijuana,7.1,39/100
Dinotrux: Supercharged,7.2,39/100
The Jungle Book,4.2,39/100
My Dear Boy,8.0,39/100
Skin Decision: Before and After,5.8,39/100
Rhyme Time Town Singalongs,8.3,39/100
Transformers: Rescue Bots Academy,6.6,39/100
"Noddy, Toyland Detective",6.2,39/100
Ricky Zoom,6.5,39/100
Popples,6.5,39/100
Edgar Rice Burroughs' Tarzan and Jane,4.8,39/100
Chico Bon Bon: Monkey with a Tool Belt,6.3,39/100
Inborn Pair,6.9,38/100
The Underclass,6.2,38/100
Boca Juniors Confidential,6.4,38/100
ZOIDS WILD,5.8,38/100
Holiday Home Makeover with Mr. Christmas,5.7,38/100
Nailed It! Mexico,6.1,38/100
Cabins in the Wild with Dick Strawbridge,6.8,38/100
Best.Worst.Weekend.Ever.,6.4,38/100
Fangbone!,5.7,38/100
Wrong Kind of Black,7.6,38/100
Disappearance,7.2,38/100
I'm with the Band: Nasty Cherry,6.7,38/100
Pinky Malinky,5.7,38/100
The Crime,6.2,38/100
Tayee,8.0,38/100
Yanxi Palace: Princess Adventures,5.8,38/100
Extreme Engagement,5.7,38/100
Care Bears and Cousins,6.8,38/100
Graceful Friends,6.7,38/100
Spark,7.0,38/100
The Miracle,6.5,38/100
The In-Laws,5.7,38/100
Hong Kong West Side Stories,7.3,38/100
Life Plan A and B,7.6,38/100
Empire Games,5.7,38/100
Shrek's Swamp Stories,6.6,38/100
J-Style Trip,5.4,37/100
Block B - Under Arrest,6.9,37/100
Kong: King of the Apes,5.8,37/100
Fire Chasers,6.6,37/100
Word Party,5.9,37/100
Power Players,6.0,37/100
Legend of Chu and Han,8.0,37/100
The Devil Punisher,5.9,37/100
The Outsiders,7.4,37/100
LEGO Elves,6.7,37/100
Memory Love,7.8,37/100
The Perfect Match,7.5,37/100
Nailed It! France,6.4,37/100
Love Family,7.8,37/100
Southern Survival,5.7,37/100
When I See You Again,7.1,37/100
"Three Wives, One Husband",6.5,37/100
Richie Rich,3.3,37/100
Justice,5.2,37/100
Bookmarks: Celebrating Black Voices,4.9,37/100
Fifty,8.3,37/100
Hook,6.7,37/100
Pacto de Sangue,6.9,37/100
Pablo,7.6,37/100
The Land of Hypocrisy,6.5,37/100
Meet the Adebanjos,7.6,37/100
Inside the Freemasons,5.4,36/100
All About Love,6.3,36/100
Rimba Racer,8.2,36/100
Murphy's Law of Love,7.4,36/100
LEGO Friends: The Power of Friendship,6.0,36/100
Secreto bien guardado,4.9,36/100
The Unremarkable Juanquini,4.4,36/100
Felipe Esparza: Bad Decisions,5.0,36/100
True Tunes,8.0,36/100
The Judgement,7.1,36/100
Dreamworks Spooky Stories,6.7,36/100
Little Baby Bum: Nursery Rhyme Friends,6.7,36/100
28 Faces of the Moon,5.5,36/100
Harvey Street Kids,6.6,36/100
Buddi,6.9,36/100
Edha,4.8,36/100
The Degenerates,6.2,36/100
"Heidi, bienvenida a casa",6.1,36/100
Chasing Cameron,3.7,36/100
Country Ever After,6.5,36/100
Chip and Potato,6.2,36/100
Lion Pride,7.3,35/100
YG Future Strategy Office,7.0,35/100
Love At Seventeen,6.2,35/100
The Could’ve-Gone-All-the-Way Committee,6.8,35/100
Diamond Lover,6.3,35/100
Kid-E-Cats,7.4,35/100
Bo on the Go!,4.0,35/100
Easy Fortune Happy Life,5.6,35/100
Bangkok Love Stories 2: Plead,7.1,35/100
21 Again,4.8,35/100
Monkey Twins,7.9,35/100
Cocaine,7.1,35/100
Тобот,6.6,35/100
Sing On! Spain,6.2,35/100
In The Bosom of a Thorn,7.3,35/100
Sammy & Co,5.3,35/100
Nailed It! Germany,5.8,35/100
YooHoo to the Rescue,6.6,35/100
Singles Villa,7.6,35/100
Ladies Up,4.3,35/100
Vai Anitta,5.5,35/100
Styling Hollywood,7.3,35/100
Trotro,6.0,35/100
Masha's Spooky Stories,5.0,35/100
The Goop Lab,2.5,35/100
Kulipari: An Army of Frogs,7.0,35/100
Angel 'N' Devil,4.9,34/100
Happy Jail,8.0,34/100
President,7.2,34/100
Luo Bao Bei,7.6,34/100
Entangled,6.9,34/100
Lavender,6.6,34/100
Ojo's in d' House,6.1,34/100
Frank Elstner: Just One Last Question,7.6,34/100
Unriddle,7.8,34/100
KO One,5.4,34/100
Kulipari: Dream Walker,7.6,34/100
La Ley secreta,7.4,34/100
Miniforce X,4.3,34/100
Candy Online,5.3,34/100
Oh Yuck!,7.4,34/100
K.O.3an Guo,5.3,34/100
Best Lover,6.5,34/100
Nasce Uma Rainha,6.5,34/100
DeMarcus Family Rules,6.2,34/100
Bhaag Beanie Bhaag,3.8,34/100
The Single Wives,6.8,34/100
Morphle,4.9,34/100
Hello Ninja,6.6,34/100
Tian Bao Fuyao Lu,7.0,34/100
Sakho & Mangane,6.4,34/100
Zona Rosa,6.0,34/100
"Crazy, Lovely, Cool",7.8,33/100
See You in Time,7.1,33/100
The Ultimatum,5.4,33/100
Llama Llama,6.5,33/100
Part-Time Idol,7.0,33/100
Color of Woman,5.0,33/100
Love Cheque Charge,7.5,33/100
My Dear Warrior,3.9,33/100
The Sound of Your Heart: Reboot,5.9,33/100
Ponysitters Club,7.1,33/100
Bangkok รัก Stories 2 ตอน ไม่เดียงสา,6.8,33/100
The Truth Seekers,7.1,33/100
Love for Ten: Generation of Youth,6.5,33/100
Made in Mexico,4.1,32/100
Kongsuni and Friends,4.4,32/100
Love Storm,3.3,32/100
Sleepless Society NYCTOPHOBIA,5.6,32/100
Before 30,8.1,32/100
ARASHI's Diary -Voyage-,7.4,32/100
Afronta! Facing It!,7.4,32/100
Bottersnikes & Gumbles,5.2,32/100
Mighty Little Bheem: Diwali,7.5,32/100
On the Real,8.3,32/100
The 10 Sins,6.9,32/100
True: Terrific Tales,5.5,32/100
My MVP Valentine,6.6,32/100
Shopkins,3.8,32/100
Sing On! Germany,5.5,32/100
Especial Futbol De Primera 20 Años,7.0,31/100
Dennis & Gnasher Unleashed!,7.4,31/100
Luna Petunia Return to Amazia,4.8,31/100
Luna Petunia,6.3,31/100
Iron Ladies,5.9,31/100
The Dream Job,6.1,31/100
Treehouse Detectives,7.1,31/100
Jojo's World,6.6,31/100
Stay Tuned!,8.0,31/100
Borges Importadora,6.0,31/100
Jimmy: The True Story of a True Idiot,6.8,31/100
Magic Cellphone,3.9,31/100
Against the Tide,7.6,31/100
Singapore Social,5.1,31/100
Jusqu'à l'Aube,2.7,31/100
At Dolphin Bay,7.1,31/100
行医,8.2,31/100
Way Back into Love,6.6,31/100
Droppin' Cash: Los Angeles,3.5,30/100
Robozuna,6.3,30/100
Yours Fatefully,6.6,30/100
Lucky Days,7.0,30/100
Be with You,7.1,30/100
Stunt Science,5.0,30/100
Word Party Songs,3.2,30/100
Goodbye Dear Wife,6.3,30/100
天国的嫁衣,6.2,30/100
La Grande Chaumière Violette,7.9,30/100
No Time for Shame,5.7,29/100
Bangkok Buddies,6.8,29/100
Nailed It! Spain,5.5,29/100
阳关道,3.2,29/100
Cocomong,4.3,29/100
Love Me Or Leave Me,6.5,29/100
The Year of Happiness and Love,5.2,29/100
Tjovitjo,6.3,29/100
Jumping Girl,5.1,28/100
Kibaoh Klashers,6.3,27/100
Chhota Bheem,4.3,27/100
Lugar de Mulher,4.5,26/100
Game Winning Hit,2.3,24/100
Genius,8.3,74/100
Mom,7.2,71/100
The Bridge,7.6,69/100
The Son,7.5,67/100
Midnight Sun,7.5,58/100
Paradox,7.0,56/100
The Show Must Go On: The Queen + Adam Lambert Story,7.8,44/100
Destiny,7.6,31/100
Howards End,7.3,64/100
Thriller,8.2,56/100
Pandora,4.2,52/100
Hole in the Wall,3.2,51/100
Charlie's Angels,4.4,44/100
Into the Wild,8.5,41/100
Ghost Stories,6.6,39/100
The Bad Batch,8.2,82/100
The Muppets,7.4,64/100
Pick of the Litter,8.1,47/100
Becoming,6.8,38/100
